Filesystem: -ff11- Test: -file_append- Result: 491520 Byte
Failparam - Mean Erases: 1000, Erase-Deviation: 0, Mean Ionizing Dose: 0, Ionizing Dose Deviation: 0
"pagenumber","erases","writes","reads"
0,557,557,558
1,557,557,802
2,557,557,720
3,557,557,631
4,557,557,557
5,557,557,557
6,557,557,557
7,557,557,557
8,557,557,557
9,557,557,557
10,557,557,557
11,557,557,557
12,557,557,557
13,557,557,557
14,557,557,557
15,557,557,557
16,557,557,557
17,557,557,557
18,557,557,557
19,557,557,557
20,557,557,557
21,557,557,557
22,557,557,557
23,557,557,557
24,557,557,557
25,557,557,557
26,557,557,557
27,557,557,557
28,557,557,557
29,557,557,557
30,557,557,557
31,557,557,557
32,557,557,798
33,557,557,557
34,557,557,557
35,557,557,557
36,557,557,557
37,557,557,557
38,557,557,557
39,557,557,557
40,557,557,557
41,557,557,557
42,557,557,557
43,557,557,557
44,557,557,557
45,557,557,557
46,557,557,557
47,557,557,557
48,557,557,557
49,557,557,557
50,557,557,557
51,557,557,557
52,557,557,557
53,557,557,557
54,557,557,557
55,557,557,557
56,557,557,557
57,557,557,557
58,557,557,557
59,557,557,557
60,557,557,557
61,557,557,557
62,557,557,557
63,557,557,557
64,80,80,320
65,80,80,319
66,80,80,319
67,80,80,319
68,80,80,319
69,80,80,318
70,80,80,318
71,80,80,318
72,80,80,318
73,80,80,317
74,80,80,317
75,80,80,317
76,80,80,317
77,80,80,316
78,80,80,316
79,80,80,316
80,80,80,316
81,80,80,315
82,80,80,315
83,80,80,315
84,80,80,315
85,80,80,314
86,80,80,314
87,80,80,314
88,80,80,314
89,80,80,313
90,80,80,313
91,80,80,313
92,80,80,313
93,80,80,312
94,80,80,312
95,80,80,312
96,80,80,312
97,80,80,311
98,80,80,311
99,80,80,311
100,80,80,311
101,80,80,310
102,80,80,310
103,80,80,310
104,80,80,310
105,80,80,309
106,80,80,309
107,80,80,309
108,80,80,309
109,80,80,308
110,80,80,308
111,80,80,308
112,80,80,308
113,80,80,307
114,80,80,307
115,80,80,307
116,80,80,307
117,80,80,306
118,80,80,306
119,80,80,306
120,80,80,306
121,80,80,305
122,80,80,305
123,80,80,305
124,80,80,305
125,80,80,304
126,80,80,304
127,80,80,304
128,80,80,304
129,80,80,303
130,80,80,303
131,80,80,303
132,80,80,303
133,80,80,302
134,80,80,302
135,80,80,302
136,80,80,302
137,80,80,301
138,80,80,301
139,80,80,301
140,80,80,301
141,80,80,300
142,80,80,300
143,80,80,300
144,80,80,300
145,80,80,299
146,80,80,299
147,80,80,299
148,80,80,299
149,80,80,298
150,80,80,298
151,80,80,298
152,80,80,298
153,80,80,297
154,80,80,297
155,80,80,297
156,80,80,297
157,80,80,296
158,80,80,296
159,80,80,296
160,80,80,296
161,80,80,295
162,80,80,295
163,80,80,295
164,80,80,295
165,80,80,294
166,80,80,294
167,80,80,294
168,80,80,294
169,80,80,293
170,80,80,293
171,80,80,293
172,80,80,293
173,80,80,292
174,80,80,292
175,80,80,292
176,80,80,292
177,80,80,291
178,80,80,291
179,80,80,291
180,80,80,291
181,80,80,290
182,80,80,290
183,80,80,290
184,80,80,290
185,80,80,289
186,80,80,289
187,80,80,289
188,80,80,289
189,80,80,288
190,80,80,288
191,80,80,288
192,80,80,288
193,80,80,287
194,80,80,287
195,80,80,287
196,80,80,287
197,80,80,286
