Filesystem: -ff11- Test: -maxFiles- Result: 10000 Files
Failparam - Mean Erases: 1000, Erase-Deviation: 0, Mean Ionizing Dose: 0, Ionizing Dose Deviation: 0
"pagenumber","erases","writes","reads"
0,30085,30085,30086
1,30085,30085,33836
2,30085,30085,33587
3,30085,30085,32895
4,30085,30085,30085
5,30085,30085,30085
6,30085,30085,30085
7,30085,30085,30085
8,30085,30085,30085
9,30085,30085,30085
10,30085,30085,30085
11,30085,30085,30085
12,30085,30085,30085
13,30085,30085,30085
14,30085,30085,30085
15,30085,30085,30085
16,30085,30085,30085
17,30085,30085,30085
18,30085,30085,30085
19,30085,30085,30085
20,30085,30085,30085
21,30085,30085,30085
22,30085,30085,30085
23,30085,30085,30085
24,30085,30085,30085
25,30085,30085,30085
26,30085,30085,30085
27,30085,30085,30085
28,30085,30085,30085
29,30085,30085,30085
30,30085,30085,30085
31,30085,30085,30085
32,30085,30085,40384
33,30085,30085,30697
34,30085,30085,30665
35,30085,30085,30634
36,30085,30085,30599
37,30085,30085,30567
38,30085,30085,30535
39,30085,30085,30503
40,30085,30085,30471
41,30085,30085,30439
42,30085,30085,30407
43,30085,30085,30375
44,30085,30085,30343
45,30085,30085,30311
46,30085,30085,30279
47,30085,30085,30247
48,30085,30085,30215
49,30085,30085,30183
50,30085,30085,30151
51,30085,30085,30112
52,30085,30085,30085
53,30085,30085,30085
54,30085,30085,30085
55,30085,30085,30085
56,30085,30085,30085
57,30085,30085,30085
58,30085,30085,30085
59,30085,30085,30085
60,30085,30085,30085
61,30085,30085,30085
62,30085,30085,30085
63,30085,30085,30085
64,704,704,704
65,704,704,704
66,704,704,704
67,704,704,704
68,704,704,704
69,704,704,704
70,704,704,704
71,704,704,704
72,704,704,704
73,704,704,704
74,704,704,704
75,704,704,704
76,704,704,704
77,704,704,704
78,704,704,704
79,704,704,704
80,704,704,704
81,704,704,704
82,704,704,704
83,704,704,704
84,704,704,704
85,704,704,704
86,704,704,704
87,704,704,704
88,704,704,704
89,704,704,704
90,704,704,704
91,704,704,704
92,704,704,704
93,704,704,704
94,704,704,704
95,704,704,704
96,704,704,704
97,704,704,704
98,704,704,704
99,704,704,704
100,704,704,704
101,704,704,704
102,704,704,704
103,704,704,704
104,704,704,704
105,704,704,704
106,704,704,704
107,704,704,704
108,704,704,704
109,704,704,704
110,704,704,704
111,704,704,704
112,704,704,704
113,704,704,704
114,704,704,704
115,704,704,704
116,704,704,704
117,704,704,704
118,704,704,704
119,704,704,704
120,704,704,704
121,704,704,704
122,704,704,704
123,704,704,704
124,704,704,704
125,704,704,704
126,704,704,704
127,704,704,704
128,704,704,704
129,704,704,704
130,704,704,704
131,704,704,704
132,704,704,704
133,704,704,704
134,704,704,704
135,704,704,704
136,704,704,704
137,704,704,704
138,704,704,704
139,704,704,704
140,704,704,704
141,704,704,704
142,704,704,704
143,704,704,704
144,704,704,704
145,704,704,704
146,704,704,704
147,704,704,704
148,704,704,704
149,704,704,704
150,704,704,704
151,704,704,704
152,704,704,704
153,704,704,704
154,704,704,704
155,704,704,704
156,704,704,704
157,704,704,704
158,704,704,704
159,704,704,704
160,704,704,704
161,704,704,704
162,704,704,704
163,704,704,704
164,704,704,704
165,704,704,704
166,704,704,704
167,704,704,704
168,704,704,704
169,704,704,704
170,704,704,704
171,704,704,704
172,704,704,704
173,704,704,704
174,704,704,704
175,704,704,704
176,704,704,704
177,704,704,704
178,704,704,704
179,704,704,704
180,704,704,704
181,704,704,704
182,704,704,704
183,704,704,704
184,704,704,704
185,704,704,704
186,704,704,704
187,704,704,704
188,704,704,704
189,704,704,704
190,704,704,704
191,704,704,704
192,704,704,704
193,704,704,704
194,704,704,704
195,704,704,704
196,704,704,704
197,704,704,704
198,704,704,704
199,704,704,704
200,704,704,704
201,704,704,704
202,704,704,704
203,704,704,704
204,704,704,704
205,704,704,704
206,704,704,704
207,704,704,704
208,704,704,704
209,704,704,704
210,704,704,704
211,704,704,704
212,704,704,704
213,704,704,704
214,704,704,704
215,704,704,704
216,704,704,704
217,704,704,704
218,704,704,704
219,704,704,704
220,704,704,704
221,704,704,704
222,704,704,704
223,704,704,704
224,704,704,704
225,704,704,704
226,704,704,704
227,704,704,704
228,704,704,704
229,704,704,704
230,704,704,704
231,704,704,704
232,704,704,704
233,704,704,704
234,704,704,704
235,704,704,704
236,704,704,704
237,704,704,704
238,704,704,704
239,704,704,704
240,704,704,704
241,704,704,704
242,704,704,704
243,704,704,704
244,704,704,704
245,704,704,704
246,704,704,704
247,704,704,704
248,704,704,704
249,704,704,704
250,704,704,704
251,704,704,704
252,704,704,704
253,704,704,704
254,704,704,704
255,704,704,704
256,704,704,704
257,704,704,704
258,704,704,704
259,704,704,704
260,704,704,704
261,704,704,704
262,704,704,704
263,704,704,704
264,704,704,704
265,704,704,704
266,704,704,704
267,704,704,704
268,704,704,704
269,704,704,704
270,704,704,704
271,704,704,704
272,704,704,704
273,704,704,704
274,704,704,704
275,704,704,704
276,704,704,704
277,704,704,704
278,704,704,704
279,704,704,704
280,704,704,704
281,704,704,704
282,704,704,704
283,704,704,704
284,704,704,704
285,704,704,704
286,704,704,704
287,704,704,704
288,704,704,704
289,704,704,704
290,704,704,704
291,704,704,704
292,704,704,704
293,704,704,704
294,704,704,704
295,704,704,704
296,704,704,704
297,704,704,704
298,704,704,704
299,704,704,704
300,704,704,704
301,704,704,704
302,704,704,704
303,704,704,704
304,704,704,704
305,704,704,704
306,704,704,704
307,704,704,704
308,704,704,704
309,704,704,704
310,704,704,704
311,704,704,704
312,704,704,704
313,704,704,704
314,704,704,704
315,704,704,704
316,704,704,704
317,704,704,704
318,704,704,704
319,704,704,704
320,704,704,704
321,704,704,704
322,704,704,704
323,704,704,704
324,704,704,704
325,704,704,704
326,704,704,704
327,704,704,704
328,704,704,704
329,704,704,704
330,704,704,704
331,704,704,704
332,704,704,704
333,704,704,704
334,704,704,704
335,704,704,704
336,704,704,704
337,704,704,704
338,704,704,704
339,704,704,704
340,704,704,704
341,704,704,704
342,704,704,704
343,704,704,704
344,704,704,704
345,704,704,704
346,704,704,704
347,704,704,704
348,704,704,704
349,704,704,704
350,704,704,704
351,704,704,704
352,704,704,704
353,704,704,704
354,704,704,704
355,704,704,704
356,704,704,704
357,704,704,704
358,704,704,704
359,704,704,704
360,704,704,704
361,704,704,704
362,704,704,704
363,704,704,704
364,704,704,704
365,704,704,704
366,704,704,704
367,704,704,704
368,704,704,704
369,704,704,704
370,704,704,704
371,704,704,704
372,704,704,704
373,704,704,704
374,704,704,704
375,704,704,704
376,704,704,704
377,704,704,704
378,704,704,704
379,704,704,704
380,704,704,704
381,704,704,704
382,704,704,704
383,704,704,704
384,704,704,704
385,704,704,704
386,704,704,704
387,704,704,704
388,704,704,704
389,704,704,704
390,704,704,704
391,704,704,704
392,704,704,704
393,704,704,704
394,704,704,704
395,704,704,704
396,704,704,704
397,704,704,704
398,704,704,704
399,704,704,704
400,704,704,704
401,704,704,704
402,704,704,704
403,704,704,704
404,704,704,704
405,704,704,704
406,704,704,704
407,704,704,704
408,704,704,704
409,704,704,704
410,704,704,704
411,704,704,704
412,704,704,704
413,704,704,704
414,704,704,704
415,704,704,704
416,704,704,704
417,704,704,704
418,704,704,704
419,704,704,704
420,704,704,704
421,704,704,704
422,704,704,704
423,704,704,704
424,704,704,704
425,704,704,704
426,704,704,704
427,704,704,704
428,704,704,704
429,704,704,704
430,704,704,704
431,704,704,704
432,704,704,704
433,704,704,704
434,704,704,704
435,704,704,704
436,704,704,704
437,704,704,704
438,704,704,704
439,704,704,704
440,704,704,704
441,704,704,704
442,704,704,704
443,704,704,704
444,704,704,704
445,704,704,704
446,704,704,704
447,704,704,704
448,656,656,656
449,656,656,656
450,656,656,656
451,656,656,656
452,656,656,656
453,656,656,656
454,656,656,656
455,656,656,656
456,656,656,656
457,656,656,656
458,656,656,656
459,656,656,656
460,656,656,656
461,656,656,656
462,656,656,656
463,656,656,656
464,656,656,656
465,656,656,656
466,656,656,656
467,656,656,656
468,656,656,656
469,656,656,656
470,656,656,656
471,656,656,656
472,656,656,656
473,656,656,656
474,656,656,656
475,656,656,656
476,656,656,656
477,656,656,656
478,656,656,656
479,656,656,656
480,656,656,656
481,656,656,656
482,656,656,656
483,656,656,656
484,656,656,656
485,656,656,656
486,656,656,656
487,656,656,656
488,656,656,656
489,656,656,656
490,656,656,656
491,656,656,656
492,656,656,656
493,656,656,656
494,656,656,656
495,656,656,656
496,656,656,656
497,656,656,656
498,656,656,656
499,656,656,656
500,656,656,656
501,656,656,656
502,656,656,656
503,656,656,656
504,656,656,656
505,656,656,656
506,656,656,656
507,656,656,656
508,656,656,656
509,656,656,656
510,656,656,656
511,656,656,656
512,640,640,640
513,640,640,640
514,640,640,640
515,640,640,640
516,640,640,640
517,640,640,640
518,640,640,640
519,640,640,640
520,640,640,640
521,640,640,640
522,640,640,640
523,640,640,640
524,640,640,640
525,640,640,640
526,640,640,640
527,640,640,640
528,640,640,640
529,640,640,640
530,640,640,640
531,640,640,640
532,640,640,640
533,640,640,640
534,640,640,640
535,640,640,640
536,640,640,640
537,640,640,640
538,640,640,640
539,640,640,640
540,640,640,640
541,640,640,640
542,640,640,640
543,640,640,640
544,640,640,640
545,640,640,640
546,640,640,640
547,640,640,640
548,640,640,640
549,640,640,640
550,640,640,640
551,640,640,640
552,640,640,640
553,640,640,640
554,640,640,640
555,640,640,640
556,640,640,640
557,640,640,640
558,640,640,640
559,640,640,640
560,640,640,640
561,640,640,640
562,640,640,640
563,640,640,640
564,640,640,640
565,640,640,640
566,640,640,640
567,640,640,640
568,640,640,640
569,640,640,640
570,640,640,640
571,640,640,640
572,640,640,640
573,640,640,640
574,640,640,640
575,640,640,640
576,640,640,640
577,640,640,640
578,640,640,640
579,640,640,640
580,640,640,640
581,640,640,640
582,640,640,640
583,640,640,640
584,640,640,640
585,640,640,640
586,640,640,640
587,640,640,640
588,640,640,640
589,640,640,640
590,640,640,640
591,640,640,640
592,640,640,640
593,640,640,640
594,640,640,640
595,640,640,640
596,640,640,640
597,640,640,640
598,640,640,640
599,640,640,640
600,640,640,640
601,640,640,640
602,640,640,640
603,640,640,640
604,640,640,640
605,640,640,640
606,640,640,640
607,640,640,640
608,640,640,640
609,640,640,640
610,640,640,640
611,640,640,640
612,640,640,640
613,640,640,640
614,640,640,640
615,640,640,640
616,640,640,640
617,640,640,640
618,640,640,640
619,640,640,640
620,640,640,640
621,640,640,640
622,640,640,640
623,640,640,640
624,640,640,640
625,640,640,640
626,640,640,640
627,640,640,640
628,640,640,640
629,640,640,640
630,640,640,640
631,640,640,640
632,640,640,640
633,640,640,640
634,640,640,640
635,640,640,640
636,640,640,640
637,640,640,640
638,640,640,640
639,640,640,640
640,640,640,640
641,640,640,640
642,640,640,640
643,640,640,640
644,640,640,640
645,640,640,640
646,640,640,640
647,640,640,640
648,640,640,640
649,640,640,640
650,640,640,640
651,640,640,640
652,640,640,640
653,640,640,640
654,640,640,640
655,640,640,640
656,640,640,640
657,640,640,640
658,640,640,640
659,640,640,640
660,640,640,640
661,640,640,640
662,640,640,640
663,640,640,640
664,640,640,640
665,640,640,640
666,640,640,640
667,640,640,640
668,640,640,640
669,640,640,640
670,640,640,640
671,640,640,640
672,640,640,640
673,640,640,640
674,640,640,640
675,640,640,640
676,640,640,640
677,640,640,640
678,640,640,640
679,640,640,640
680,640,640,640
681,640,640,640
682,640,640,640
683,640,640,640
684,640,640,640
685,640,640,640
686,640,640,640
687,640,640,640
688,640,640,640
689,640,640,640
690,640,640,640
691,640,640,640
692,640,640,640
693,640,640,640
