Filesystem: -yaffs1- Test: -fileIO- Result: 1920190 Cycles
Failparam - Mean Erases: 10000, Erase-Deviation: 0, Mean Ionizing Dose: 0, Ionizing Dose Deviation: 0
"pagenumber","erases","writes","reads"
0,1,2,4
1,1,1,2
2,1,2,2
3,1,2,2
4,1,2,2
5,1,2,2
6,1,2,1
7,1,2,2
8,1,2,2
9,1,2,2
10,1,2,2
11,1,2,1
12,1,2,2
13,1,2,2
14,1,2,2
15,1,2,2
16,1,2,1
17,1,2,2
18,1,2,2
19,1,2,2
20,1,2,2
21,1,2,1
22,1,2,2
23,1,2,2
24,1,2,2
25,1,2,2
26,1,2,1
27,1,2,2
28,1,2,2
29,1,2,2
30,1,2,2
31,1,2,1
32,1,2,2
33,1,2,2
34,1,2,2
35,1,2,2
36,1,2,1
37,1,2,2
38,1,2,2
39,1,2,2
40,1,2,2
41,1,2,1
42,1,2,2
43,1,2,2
44,1,2,2
45,1,2,2
46,1,2,1
47,1,2,2
48,1,2,2
49,1,2,2
50,1,2,2
51,1,2,1
52,1,2,2
53,1,2,2
54,1,2,2
55,1,2,2
56,1,2,1
57,1,2,2
58,1,2,2
59,1,2,2
60,1,2,2
61,1,2,1
62,1,2,2
63,1,2,2
64,10001,20003,20005
65,10001,20003,20003
66,10001,20002,10001
67,10001,20002,20002
68,10001,20002,20002
69,10001,20002,20002
70,10001,20002,20002
71,10001,20002,10001
72,10001,20002,20002
73,10001,20002,20002
74,10001,20002,20002
75,10001,20002,20002
76,10001,20002,10001
77,10001,20002,20002
78,10001,20002,20002
79,10001,20002,20002
80,10001,20002,20002
81,10001,20002,10001
82,10001,20002,20002
83,10001,20002,20002
84,10001,20002,20002
85,10001,20002,20002
86,10001,20002,10001
87,10001,20002,20002
88,10001,20002,20002
89,10001,20002,20002
90,10001,20002,20002
91,10001,20002,10001
92,10001,20002,20002
93,10001,20002,20002
94,10001,20002,20002
95,10001,20002,20002
96,10001,20002,10001
97,10001,20002,20002
98,10001,20002,20002
99,10001,20002,20002
100,10001,20002,20002
101,10001,20002,10001
102,10001,20002,20002
103,10001,20002,20002
104,10001,20002,20002
105,10001,20002,20002
106,10001,20002,10001
107,10001,20002,20002
108,10001,20002,20002
109,10001,20002,20002
110,10001,20002,20002
111,10001,20002,10001
112,10001,20002,20002
113,10001,20002,20002
114,10001,20002,20002
115,10001,20002,20002
116,10001,20002,10001
117,10001,20002,20002
118,10001,20002,20002
119,10001,20002,20002
120,10001,20002,20002
121,10001,20002,10001
122,10001,20002,20002
123,10001,20002,20002
124,10001,20002,20002
125,10001,20002,20002
126,10001,20002,10001
127,10001,20002,20002
128,10001,20003,20005
129,10001,20003,20003
130,10001,20002,20002
131,10001,20002,10001
132,10001,20002,20002
133,10001,20002,20002
134,10001,20002,20002
135,10001,20002,20002
136,10001,20002,10001
137,10001,20002,20002
138,10001,20002,20002
139,10001,20002,20002
140,10001,20002,20002
141,10001,20002,10001
142,10001,20002,20002
143,10001,20002,20002
144,10001,20002,20002
145,10001,20002,20002
146,10001,20002,10001
147,10001,20002,20002
148,10001,20002,20002
149,10001,20002,20002
150,10001,20002,20002
151,10001,20002,10001
152,10001,20002,20002
153,10001,20002,20002
154,10001,20002,20002
155,10001,20002,20002
156,10001,20002,10001
157,10001,20002,20002
158,10001,20002,20002
159,10001,20002,20002
160,10001,20002,20002
161,10001,20002,10001
162,10001,20002,20002
163,10001,20002,20002
164,10001,20002,20002
165,10001,20002,20002
166,10001,20002,10001
167,10001,20002,20002
168,10001,20002,20002
169,10001,20002,20002
170,10001,20002,20002
171,10001,20002,10001
172,10001,20002,20002
173,10001,20002,20002
174,10001,20002,20002
175,10001,20002,20002
176,10001,20002,10001
177,10001,20002,20002
178,10001,20002,20002
179,10001,20002,20002
180,10001,20002,20002
181,10001,20002,10001
182,10001,20002,20002
183,10001,20002,20002
184,10001,20002,20002
185,10001,20002,20002
186,10001,20002,10001
187,10001,20002,20002
