Filesystem: -yaffs1- Test: -file_append- Result: 458767 Byte
Failparam - Mean Erases: 1000, Erase-Deviation: 0, Mean Ionizing Dose: 0, Ionizing Dose Deviation: 0
"pagenumber","erases","writes","reads"
0,4,7,68
1,4,5,75
2,4,6,75
3,4,6,74
4,4,5,212
5,4,5,212
6,4,5,212
7,4,5,212
8,4,6,75
9,4,6,74
10,4,5,211
11,4,5,211
12,4,5,211
13,4,5,211
14,4,6,75
15,4,6,74
16,4,5,210
17,4,5,210
18,4,5,210
19,4,5,210
20,4,6,75
21,4,6,74
22,4,5,209
23,4,5,209
24,4,5,209
25,4,5,209
26,4,6,75
27,4,6,74
28,4,5,208
29,4,5,208
30,4,5,208
31,4,5,208
32,4,6,75
33,4,6,74
34,4,5,207
35,4,5,207
36,4,5,207
37,4,5,207
38,4,6,75
39,4,6,74
40,4,5,206
41,4,5,206
42,4,5,206
43,4,5,206
44,4,6,75
45,4,7,36
46,4,6,166
47,4,5,204
48,4,5,204
49,4,5,204
50,4,6,74
51,4,7,36
52,4,6,165
53,4,5,202
54,4,5,202
55,4,5,202
56,4,6,73
57,4,7,36
58,4,6,164
59,4,5,200
60,4,5,200
61,4,5,200
62,4,7,64
63,4,9,23
64,3,5,201
65,3,4,204
66,3,4,203
67,3,4,203
68,3,5,43
69,3,5,42
70,3,4,202
71,3,4,202
72,3,4,202
73,3,4,202
74,3,5,43
75,3,5,42
76,3,4,201
77,3,4,201
78,3,4,201
79,3,4,201
80,3,5,43
81,3,5,42
82,3,4,200
83,3,4,200
84,3,4,200
85,3,4,200
86,3,5,43
87,3,5,42
88,3,4,199
89,3,4,199
90,3,4,199
91,3,4,199
92,3,5,43
93,3,5,42
94,3,4,198
95,3,4,198
96,3,4,198
97,3,4,198
98,3,5,43
99,3,5,42
100,3,4,197
101,3,4,197
102,3,4,197
103,3,4,197
104,3,5,43
105,3,5,42
106,3,4,196
107,3,4,196
108,3,4,196
109,3,4,196
110,3,5,43
111,3,6,26
112,3,5,178
113,3,4,194
114,3,4,194
115,3,4,194
116,3,5,42
117,3,6,26
118,3,5,177
119,3,4,192
120,3,4,192
121,3,4,192
122,3,5,41
123,3,6,26
124,3,5,176
125,3,4,190
126,3,4,190
127,3,4,190
128,3,6,37
129,3,5,70
130,3,4,190
131,3,4,170
132,3,4,190
133,3,4,190
134,3,5,70
135,3,5,69
136,3,4,189
137,3,4,189
138,3,4,189
139,3,4,189
140,3,5,70
141,3,5,69
142,3,4,188
143,3,4,188
144,3,4,188
145,3,4,188
146,3,5,70
147,3,5,69
148,3,4,187
149,3,4,187
150,3,4,187
151,3,4,187
152,3,5,70
153,3,5,69
154,3,4,186
155,3,4,186
156,3,4,186
157,3,4,186
158,3,5,70
159,3,5,69
160,3,4,185
161,3,4,185
162,3,4,185
163,3,4,185
164,3,5,70
165,3,5,69
166,3,4,184
167,3,4,184
168,3,4,184
169,3,4,184
170,3,5,70
171,3,5,69
172,3,4,183
173,3,4,183
174,3,4,183
175,3,5,148
176,3,6,34
177,3,5,68
178,3,4,181
179,3,4,181
180,3,4,181
181,3,5,147
182,3,6,34
183,3,5,67
184,3,4,179
185,3,4,179
186,3,4,179
187,3,5,146
188,3,6,34
189,3,6,57
190,3,5,167
191,3,4,176
192,4,6,176
193,4,5,175
194,4,6,61
195,4,6,60
196,4,5,173
197,4,5,173
198,4,5,173
199,4,5,173
200,4,6,61
201,4,6,60
202,4,5,172
203,4,5,172
204,4,5,172
205,4,5,172
206,4,6,61
207,4,6,60
208,4,5,171
209,4,5,171
210,4,5,171
211,4,5,171
212,4,6,61
213,4,6,60
214,4,5,170
215,4,5,170
216,4,5,170
217,4,5,170
218,4,6,61
219,4,6,60
220,4,5,169
221,4,5,169
222,4,5,169
223,4,5,169
224,4,6,61
225,4,6,60
226,4,5,168
227,4,5,168
228,4,5,168
229,4,5,168
230,4,6,61
231,4,6,60
232,4,5,167
233,4,5,167
234,4,5,167
235,4,6,140
236,4,7,33
237,4,6,59
238,4,5,165
239,4,5,165
240,4,5,165
241,4,6,139
242,4,7,33
243,4,6,58
244,4,5,163
245,4,5,163
246,4,5,163
247,4,6,138
248,4,7,33
249,4,6,57
250,4,5,161
251,4,5,161
252,4,6,153
253,4,7,128
254,4,7,32
255,4,7,53
256,9,11,175
257,9,10,173
258,9,10,172
259,9,10,172
260,9,11,41
261,9,11,40
262,9,12,166
263,9,10,170
264,9,10,170
265,9,10,170
266,9,11,40
267,9,11,39
268,9,10,169
269,9,10,169
270,9,11,169
271,9,10,168
272,9,11,39
273,9,11,38
274,9,10,167
275,9,10,167
276,9,10,167
277,9,10,167
278,9,12,39
279,9,11,37
280,9,10,165
281,9,10,165
282,9,10,165
283,9,10,165
284,9,11,38
285,9,11,37
286,9,11,164
287,9,10,163
288,9,10,163
289,9,10,163
290,9,11,37
291,9,11,36
292,9,10,162
293,9,10,162
294,9,11,158
295,9,11,157
296,9,11,36
297,9,11,35
298,9,10,160
299,9,10,160
300,9,11,157
301,9,11,156
302,9,11,35
303,9,11,34
304,9,10,158
305,9,10,158
306,9,11,156
307,9,11,155
308,9,11,34
309,9,11,33
310,9,10,156
311,9,10,156
312,9,11,155
313,9,12,139
314,9,12,17
315,9,11,31
316,9,10,153
317,9,10,153
318,9,10,154
319,9,11,134
320,3,5,66
321,3,5,63
322,3,4,158
323,3,4,158
324,3,4,158
325,3,4,158
326,3,5,63
327,3,5,62
328,3,4,157
329,3,4,157
330,3,4,157
331,3,4,157
332,3,5,63
333,3,5,62
334,3,4,156
335,3,4,156
336,3,4,156
337,3,4,156
338,3,5,63
339,3,5,62
340,3,4,155
341,3,4,155
342,3,4,155
343,3,4,155
344,3,5,63
345,3,5,62
346,3,4,154
347,3,4,154
348,3,4,154
349,3,4,154
350,3,5,63
351,3,5,62
352,3,4,153
353,3,4,153
354,3,4,153
355,3,4,153
356,3,5,63
357,3,5,62
358,3,4,152
359,3,4,152
360,3,4,152
361,3,4,152
362,3,5,63
363,3,5,62
364,3,4,151
365,3,5,121
366,3,5,120
367,3,4,150
368,3,5,62
369,3,5,61
370,3,4,149
371,3,5,120
372,3,5,119
373,3,4,148
374,3,5,61
375,3,5,60
376,3,4,147
377,3,5,119
378,3,5,118
379,3,5,138
380,3,6,51
381,3,5,58
382,3,4,144
383,3,5,117
384,3,5,123
385,3,4,149
386,3,5,51
387,3,5,58
388,3,4,147
389,3,4,147
390,3,4,147
391,3,4,147
392,3,5,59
393,3,5,58
394,3,4,146
395,3,4,146
396,3,4,146
397,3,4,146
398,3,5,59
399,3,5,58
400,3,4,145
401,3,4,145
402,3,4,145
403,3,4,145
404,3,5,59
405,3,5,58
406,3,4,144
407,3,4,144
408,3,4,144
409,3,4,144
410,3,5,59
411,3,5,58
412,3,4,143
413,3,4,143
414,3,4,143
415,3,4,143
416,3,5,59
417,3,5,58
418,3,4,142
419,3,4,142
420,3,4,142
421,3,4,142
422,3,5,59
423,3,5,58
424,3,4,141
425,3,4,141
426,3,4,141
427,3,4,141
428,3,5,59
429,3,5,58
430,3,4,140
431,3,5,113
432,3,5,112
433,3,4,139
434,3,5,58
435,3,5,57
436,3,4,138
437,3,5,112
438,3,5,111
439,3,4,137
440,3,5,57
441,3,5,56
442,3,5,129
443,3,6,103
444,3,5,109
445,3,4,134
446,3,5,55
447,3,5,54
448,9,12,121
449,9,9,139
450,9,9,138
451,9,9,138
452,9,10,35
453,9,10,34
454,9,9,137
455,9,9,137
456,9,9,137
457,9,9,137
458,9,10,35
459,9,10,34
460,9,9,136
461,9,9,136
462,9,10,135
463,9,9,136
464,9,10,35
465,9,10,34
466,9,9,135
467,9,9,135
468,9,9,135
469,9,9,135
470,9,10,35
471,9,10,34
472,9,9,134
473,9,9,134
474,9,9,134
475,9,9,134
476,9,10,35
477,9,10,34
478,9,10,132
479,9,9,133
480,9,9,133
481,9,9,133
482,9,10,35
483,9,10,34
484,9,9,132
485,9,9,132
486,9,9,132
487,9,9,132
488,9,10,35
489,9,10,34
490,9,9,131
491,9,9,131
492,9,9,131
493,9,9,131
494,9,11,34
495,9,10,34
496,9,9,130
497,9,9,130
498,9,9,130
499,9,9,130
500,9,10,35
501,9,11,32
502,9,10,128
503,9,9,129
504,9,9,129
505,9,9,129
506,9,10,35
507,9,11,34
508,9,9,127
509,9,10,113
510,9,11,111
511,9,9,126
512,4,7,60
513,4,6,58
514,4,5,128
515,4,5,128
516,4,5,128
517,4,5,128
518,4,6,58
519,4,6,57
520,4,5,127
521,4,5,127
522,4,5,127
523,4,5,127
524,4,6,58
525,4,6,57
526,4,5,126
527,4,5,126
528,4,5,126
529,4,5,126
530,4,6,58
531,4,6,57
532,4,5,125
533,4,5,125
534,4,5,125
535,4,5,125
536,4,6,58
537,4,6,57
538,4,5,124
539,4,5,124
540,4,5,124
541,4,5,124
542,4,6,58
543,4,6,57
544,4,5,123
545,4,5,123
546,4,5,123
547,4,5,123
548,4,6,58
549,4,6,57
550,4,5,122
551,4,5,122
552,4,5,122
553,4,5,122
554,4,6,58
555,4,7,39
556,4,6,102
557,4,5,120
558,4,5,120
559,4,5,120
560,4,6,57
561,4,7,39
562,4,6,101
563,4,5,118
564,4,5,118
565,4,5,118
566,4,6,56
567,4,7,39
568,4,6,100
569,4,5,116
570,4,5,116
571,4,6,101
572,4,7,39
573,4,7,38
574,4,6,98
575,4,6,111
576,2,3,119
577,2,3,117
578,2,4,52
579,2,4,51
580,2,3,115
581,2,3,115
582,2,3,115
583,2,3,115
584,2,4,52
585,2,4,51
586,2,3,114
587,2,3,114
588,2,3,114
589,2,3,114
590,2,4,52
591,2,4,51
592,2,3,113
593,2,3,113
594,2,3,113
595,2,3,113
596,2,4,52
597,2,4,51
598,2,3,112
599,2,3,112
600,2,3,112
601,2,3,112
602,2,4,52
603,2,4,51
604,2,3,111
605,2,3,111
606,2,3,111
607,2,3,111
608,2,4,52
609,2,4,51
610,2,3,110
611,2,3,110
612,2,3,110
613,2,3,110
614,2,4,52
615,2,4,51
616,2,3,109
617,2,3,109
618,2,3,109
619,2,3,109
620,2,4,52
621,2,4,51
622,2,3,108
623,2,4,81
624,2,4,80
625,2,3,107
626,2,4,51
627,2,4,50
628,2,3,106
629,2,4,80
630,2,4,79
631,2,3,105
632,2,4,50
633,2,4,49
634,2,3,104
635,2,4,79
636,2,4,78
637,2,3,103
638,2,4,49
639,2,4,48
640,2,3,114
641,2,3,112
642,2,3,111
643,2,3,111
644,2,4,37
645,2,4,36
646,2,3,110
647,2,3,110
648,2,3,110
649,2,3,110
650,2,4,37
651,2,4,36
652,2,3,109
653,2,3,109
654,2,3,109
655,2,3,109
656,2,4,37
657,2,4,36
658,2,3,108
659,2,3,108
660,2,3,108
661,2,3,108
662,2,4,37
663,2,4,36
664,2,3,107
665,2,3,107
666,2,3,107
667,2,3,107
668,2,4,37
669,2,4,36
670,2,3,106
671,2,3,106
672,2,3,106
673,2,3,106
674,2,4,37
675,2,4,36
676,2,3,105
677,2,3,105
678,2,3,105
679,2,3,105
680,2,4,37
681,2,4,36
682,2,3,104
683,2,3,104
684,2,3,104
685,2,3,104
686,2,4,37
687,2,4,36
688,2,3,103
689,2,3,103
690,2,3,103
691,2,3,103
692,2,4,37
693,2,4,36
694,2,3,102
695,2,3,102
696,2,3,102
697,2,3,102
698,2,5,22
699,2,5,20
700,2,3,100
701,2,3,100
702,2,3,100
703,2,3,100
704,4,8,47
705,4,6,49
706,4,5,95
707,4,5,95
708,4,5,95
709,4,5,95
710,4,6,49
711,4,6,48
712,4,5,94
713,4,5,94
714,4,5,94
715,4,5,94
716,4,6,49
717,4,6,48
718,4,5,93
719,4,5,93
720,4,5,93
721,4,5,93
722,4,6,49
723,4,6,48
724,4,5,92
725,4,5,92
726,4,5,92
727,4,5,92
728,4,6,49
729,4,6,48
730,4,5,91
731,4,5,91
732,4,5,91
733,4,5,91
734,4,6,49
735,4,6,48
736,4,5,90
737,4,5,90
738,4,5,90
739,4,5,90
740,4,6,49
741,4,6,48
742,4,5,89
743,4,5,89
744,4,5,89
745,4,5,89
746,4,6,49
747,4,6,48
748,4,5,88
749,4,6,70
750,4,6,69
751,4,5,87
752,4,6,48
753,4,6,47
754,4,5,86
755,4,6,69
756,4,6,68
757,4,5,85
758,4,6,47
759,4,6,46
760,4,5,84
761,4,6,68
762,4,7,62
763,4,5,82
764,4,6,45
765,4,6,44
766,4,5,81
767,4,8,61
768,4,8,64
769,4,5,84
770,4,6,44
771,4,6,43
772,4,5,82
773,4,5,82
774,4,5,82
775,4,5,82
776,4,6,44
777,4,6,43
778,4,5,81
779,4,5,81
780,4,5,81
781,4,5,81
782,4,6,44
783,4,6,43
784,4,5,80
785,4,5,80
786,4,5,80
787,4,5,80
788,4,6,44
789,4,6,43
790,4,5,79
791,4,5,79
792,4,5,79
793,4,5,79
794,4,6,44
795,4,6,43
796,4,5,78
797,4,5,78
798,4,5,78
799,4,5,78
800,4,6,44
801,4,6,43
802,4,5,77
803,4,5,77
804,4,5,77
805,4,5,77
806,4,6,44
807,4,6,43
808,4,5,76
809,4,5,76
810,4,5,76
811,4,5,76
812,4,6,44
813,4,6,43
814,4,5,75
815,4,5,75
816,4,5,75
817,4,6,60
818,4,7,28
819,4,6,42
820,4,5,73
821,4,5,73
822,4,5,73
823,4,6,59
824,4,7,28
825,4,6,41
826,4,5,71
827,4,5,71
828,4,5,71
829,4,6,58
830,4,7,28
831,4,7,35
832,9,11,75
833,9,9,23
834,9,10,79
835,9,9,78
836,9,9,78
837,9,9,78
838,9,9,78
839,9,9,78
840,9,9,78
841,9,9,78
842,9,10,78
843,9,9,77
844,9,9,77
845,9,9,77
846,9,9,77
847,9,9,77
848,9,9,77
849,9,9,77
850,9,10,77
851,9,9,76
852,9,9,76
853,9,9,76
854,9,9,76
855,9,9,76
856,9,9,76
857,9,9,76
858,9,10,76
859,9,9,75
860,9,9,75
861,9,9,75
862,9,9,75
863,9,9,75
864,9,9,75
865,9,9,75
866,9,10,75
867,9,9,74
868,9,9,74
869,9,9,74
870,9,9,74
871,9,9,74
872,9,9,74
873,9,9,74
874,9,9,74
875,9,9,74
876,9,9,74
877,9,10,18
878,9,10,17
879,9,9,73
880,9,9,73
881,9,9,73
882,9,9,73
883,9,10,18
884,9,10,17
885,9,9,72
886,9,9,72
887,9,9,72
888,9,9,72
889,9,11,17
890,9,10,17
891,9,9,71
892,9,9,71
893,9,9,71
894,9,9,72
895,9,11,12
896,6,9,20
897,6,7,79
898,6,7,78
899,6,7,78
900,6,7,78
901,6,7,78
902,6,8,77
903,6,7,78
904,6,7,78
905,6,7,78
906,6,7,78
907,6,7,78
908,6,7,78
909,6,7,78
910,6,7,78
911,6,7,78
912,6,7,78
913,6,7,78
914,6,7,78
915,6,7,78
916,6,7,78
917,6,7,78
918,6,8,77
919,6,7,78
920,6,7,78
921,6,7,78
922,6,7,78
923,6,7,78
924,6,7,78
925,6,7,78
926,6,7,78
927,6,7,78
928,6,7,78
929,6,7,78
930,6,7,78
931,6,7,78
932,6,7,78
933,6,7,78
934,6,8,77
935,6,7,78
936,6,7,78
937,6,7,78
938,6,7,78
939,6,7,78
940,6,7,78
941,6,7,78
942,6,7,78
943,6,8,25
944,6,8,24
945,6,7,77
946,6,7,77
947,6,7,77
948,6,7,77
949,6,8,25
950,6,9,23
951,6,7,76
952,6,7,76
953,6,7,76
954,6,7,76
955,6,8,25
956,6,8,24
957,6,7,75
958,6,7,75
959,6,7,75
960,2,4,68
961,2,3,78
962,2,3,77
963,2,3,77
964,2,3,77
965,2,3,77
966,2,3,77
967,2,3,77
968,2,3,77
969,2,3,77
970,2,3,77
971,2,3,77
972,2,3,77
973,2,3,77
974,2,3,77
975,2,3,77
976,2,3,77
977,2,3,77
978,2,3,77
979,2,3,77
980,2,3,77
981,2,3,77
982,2,3,77
983,2,3,77
984,2,3,77
985,2,3,77
986,2,3,77
987,2,3,77
988,2,3,77
