Filesystem: -yaffs2- Test: -maxFiles- Result: 433 Files
Failparam - Mean Erases: 1000, Erase-Deviation: 0, Mean Ionizing Dose: 0, Ionizing Dose Deviation: 0
"pagenumber","erases","writes","reads"
0,5,6,10
1,5,6,6
2,5,6,6
3,5,6,6
4,5,6,6
5,5,6,6
6,5,6,6
7,5,6,6
8,5,6,6
9,5,6,6
10,5,6,6
11,5,6,6
12,5,6,6
13,5,6,6
14,5,6,6
15,5,6,6
16,5,6,6
17,5,6,6
18,5,6,6
19,5,6,6
20,5,6,6
21,5,6,6
22,5,6,6
23,5,6,6
24,5,6,6
25,5,6,6
26,5,6,6
27,5,6,6
28,5,6,6
29,5,6,6
30,5,6,6
31,5,6,6
32,5,6,6
33,5,6,6
34,5,6,6
35,5,6,6
36,5,6,6
37,5,6,6
38,5,6,6
39,5,6,6
40,5,6,6
41,5,6,6
42,5,6,6
43,5,6,6
44,5,6,6
45,5,6,6
46,5,6,6
47,5,6,6
48,5,6,6
49,5,6,6
50,5,6,6
51,5,6,6
52,5,6,6
53,5,6,6
54,5,6,6
55,5,6,6
56,5,6,6
57,5,6,6
58,5,6,6
59,5,6,6
60,5,6,6
61,5,6,6
62,5,6,1
63,5,6,1
64,16,17,21
65,16,17,17
66,16,17,17
67,16,17,17
68,16,17,17
69,16,17,17
70,16,17,17
71,16,17,17
72,16,17,17
73,16,17,17
74,16,17,17
75,16,17,17
76,16,17,17
77,16,17,17
78,16,17,17
79,16,17,17
80,16,17,17
81,16,17,17
82,16,17,17
83,16,17,17
84,16,17,17
85,16,17,17
86,16,17,17
87,16,17,17
88,16,17,17
89,16,17,17
90,16,17,17
91,16,17,17
92,16,17,17
93,16,17,17
94,16,17,17
95,16,17,17
96,16,17,17
97,16,17,17
98,16,17,17
99,16,17,17
100,16,17,17
101,16,17,17
102,16,17,17
103,16,17,17
104,16,17,17
105,16,17,17
106,16,17,17
107,16,17,17
108,16,17,17
109,16,17,17
110,16,17,17
111,16,17,17
112,16,17,17
113,16,17,17
114,16,17,17
115,16,17,17
116,16,17,17
117,16,17,17
118,16,17,17
119,16,17,17
120,16,17,17
